Kp,Ki,Kd,IAE,Final Pitch,Max Overshoot
0.2,0.8,0.5,0.010773242406774422,0.023153595,0.178427462
0.5,0.9,1.0,0.010857415524733452,0.042254062,0.142961498
0.0,0.5,0.4,0.011307840500676887,0.012527529,0.173613977
0.1,0.4,0.4,0.011484029844823924,0.032768229,0.149999399
0.7,0.1,1.0,0.01154613552110215,0.242615262,0.248431076
0.0,1.0,1.0,0.011650578836094442,0.008228926,0.144158497
0.7,1.0,0.5,0.011661827867593325,0.008942991,0.15825226
0.5,0.3,0.5,0.011970220908793905,0.198681757,0.198681757
0.9,0.1,0.4,0.012015090055506784,0.021724315,0.172082391
0.3,1.0,0.4,0.01204775714678876,0.129677654,0.188172457
0.4,0.9,0.4,0.012048879994839026,0.149608909,0.149608909
0.9,0.7,0.4,0.012404285261753885,0.082119778,0.173087083
0.7,0.9,0.4,0.01247248548654141,0.019163122,0.192522594
0.6,0.5,0.5,0.01278750564435567,0.396944035,0.442441429
0.4,0.5,0.4,0.01284126798608954,0.026497514,0.194237171
0.0,0.7,0.4,0.012921494306411395,0.043286832,0.144906276
0.6,0.9,0.4,0.012932363115260212,0.029691308,0.194709134
0.6,0.3,0.4,0.012982192834247763,0.027124883,0.163988291
0.2,0.9,0.4,0.013014710139899488,0.01015373,0.178965977
0.0,1.0,0.8,0.013018739349038766,0.116887892,0.15208
0.3,0.3,0.6,0.013061638230102486,0.011943819,0.066261612
0.8,0.1,0.4,0.013098374375967026,0.031092494,0.194897424
0.1,0.3,0.5,0.013140935921961906,0.04928637,0.119661762
0.4,0.4,0.4,0.013234959828741375,0.0193897,0.19041155
1.0,0.3,0.4,0.013263307819146967,0.025894588,0.195259375
0.5,0.7,0.4,0.013288307027899546,0.22323626,0.22323626
0.3,0.1,0.4,0.013646341136791385,0.103707153,0.173120935
1.0,1.0,0.4,0.01368193294846507,0.029713044,0.175500827
0.0,0.6,0.4,0.01382711107963111,0.082161263,0.162990989
0.1,0.1,0.5,0.013827948837089156,0.041844033,0.540338086
